"id","parcelid","airconditioningtypeid","architecturalstyletypeid","basementsqft","bathroomcnt","bedroomcnt","buildingclasstypeid","buildingqualitytypeid","calculatedbathnbr","decktypeid","finishedfloor1squarefeet","calculatedfinishedsquarefeet","finishedsquarefeet12","finishedsquarefeet13","finishedsquarefeet15","finishedsquarefeet50","finishedsquarefeet6","fips","fireplacecnt","fullbathcnt","garagecarcnt","garagetotalsqft","hashottuborspa","heatingorsystemtypeid","latitude","longitude","lotsizesquarefeet","poolcnt","poolsizesum","pooltypeid10","pooltypeid2","pooltypeid7","propertycountylandusecode","propertylandusetypeid","propertyzoningdesc","rawcensustractandblock","regionidcity","regionidcounty","regionidneighborhood","regionidzip","roomcnt","storytypeid","threequarterbathnbr","typeconstructiontypeid","unitcnt","yardbuildingsqft17","yardbuildingsqft26","yearbuilt","numberofstories","fireplaceflag","structuretaxvaluedollarcnt","taxvaluedollarcnt","assessmentyear","landtaxvaluedollarcnt","taxamount","taxdelinquencyflag","taxdelinquencyyear","censustractandblock"
0,10754147,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34144442,-118654084,85768,NULL,NULL,NULL,NULL,NULL,"010D",269,NULL,60378002.041,37688,3101,NULL,96337,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,2016,9,NULL,NULL,NULL,NULL
1,10759547,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34140430,-118625364,4083,NULL,NULL,NULL,NULL,NULL,"0109",261,"LCA11*",60378001.011002004,37688,3101,NULL,96337,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27516,2015,27516,NULL,NULL,NULL,NULL
2,10843547,NULL,NULL,NULL,0,0,5,NULL,NULL,NULL,NULL,73026,NULL,NULL,73026,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,33989359,-118394633,63085,NULL,NULL,NULL,NULL,NULL,1200,47,"LAC2",60377030.012017004,51617,3101,NULL,96095,0,NULL,NULL,NULL,2,NULL,NULL,1959,1,NULL,660680,1434941,2016,774261,20800.37,NULL,NULL,NULL
3,10859147,NULL,NULL,NULL,0,0,3,6,NULL,NULL,NULL,5068,NULL,NULL,5068,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34148863,-118437206,7521,NULL,NULL,NULL,NULL,NULL,1200,47,"LAC2",60371412.023001,12447,3101,27080,96424,0,NULL,NULL,NULL,NULL,NULL,NULL,1948,1,NULL,580059,1174475,2016,594416,14557.57,NULL,NULL,NULL
4,10879947,NULL,NULL,NULL,0,0,4,NULL,NULL,NULL,NULL,1776,NULL,NULL,1776,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34194168,-118385816,8512,NULL,NULL,NULL,NULL,NULL,1210,31,"LAM1",60371232.052003,12447,3101,46795,96450,0,NULL,NULL,NULL,1,NULL,NULL,1947,1,NULL,196751,440101,2016,243350,5725.17,NULL,NULL,NULL
5,10898347,NULL,NULL,NULL,0,0,4,4,NULL,NULL,NULL,2400,NULL,NULL,2400,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34171873,-118380906,2500,NULL,NULL,NULL,NULL,NULL,1210,31,"LAC4",60371252.001,12447,3101,46795,96446,0,NULL,NULL,NULL,NULL,NULL,NULL,1943,1,NULL,179072,287634,2016,108562,3661.28,NULL,NULL,NULL
6,10933547,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34131929,-118351474,NULL,NULL,NULL,NULL,NULL,NULL,"010V",260,"LAC2",60371437.00101,12447,3101,274049,96049,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,404013,563029,2016,159016,6773.34,NULL,NULL,NULL
7,10940747,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,3611,NULL,NULL,3611,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34171345,-118314900,5333,NULL,NULL,NULL,NULL,NULL,1210,31,"BUC4YY",60373108.00300401,396054,3101,NULL,96434,0,NULL,NULL,NULL,NULL,NULL,NULL,1946,1,NULL,103553,698984,2016,595431,7857.84,NULL,NULL,NULL
8,10954547,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34218210,-118331311,145865,NULL,NULL,NULL,NULL,NULL,"010D",269,"BUR1*",60373101.003001004,396054,3101,NULL,96436,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,2016,9,NULL,NULL,NULL,NULL
9,10976347,NULL,NULL,NULL,0,0,3,4,NULL,NULL,NULL,3754,NULL,NULL,3754,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34289776,-118432085,7494,NULL,NULL,NULL,NULL,NULL,1210,31,"SFC2*",60373202.023005,47547,3101,NULL,96366,0,NULL,NULL,NULL,NULL,NULL,NULL,1978,1,NULL,221771,265184,2016,43413,4054.76,NULL,NULL,NULL
